Month,SensorName,Snow Water Equivalent (in),Precipitation Accumulation (in)
11,Meadows Pass,1.44347826087,16.4126086957
11,Morse Lake,4.53415794481,12.0426470588
11,Moses Mountain,1.17053333333,3.14013333333
11,Mount Crag,1.7275308642,11.6802469136
11,Mount Gardner,0.818550724638,17.257826087
11,Mowich,0.16,9.17425925926
11,Olallie Meadows,3.97107516651,20.6275238095
11,Paradise ,6.40219047619,18.6140952381
11,Park Creek Ridge,3.92754385965,11.2378947368
11,Pigtail Peak,4.78095238095,12.0635238095
11,Pope Ridge,1.70504761905,5.93019607843
11,Potato Hill,1.73733333333,6.69255555556
11,Quartz Peak,1.73733333333,6.69255555556
11,Rex River,1.76523809524,18.2074603175
11,Salmon Meadows,1.07463271303,2.93343137255
11,Sasse Ridge,2.83555555556,9.57818181818
11,Sheep Canyon,4.046802595,21.8351251158
11,Skookum Creek,1.34619047619,24.9901587302
11,Spencer Meadow,3.17874165872,15.8106532663
11,Spirit Lake,0.7440625,14.9406451613
11,Stampede Pass,3.05960784314,14.6255882353
11,Surprise Lakes,4.49078138718,16.2464442493
11,Swamp Creek,1.39588235294,8.01333333333
11,Thunder Basin,0.952068965517,11.901954023
11,Tinkham Creek,1.42028985507,18.0207246377
11,Touchet,2.53305555556,7.7987037037
11,Trough,1.17157894737,3.82035087719
11,Upper Wheeler,0.918363463368,3.9200952381
11,Waterhole,3.00666666667,11.7701960784
11,Wells Creek,2.26095238095,14.7122222222
11,White Pass ES,1.58935185185,6.80555555556
12,Alpine Meadows,12.4329912023,50.2347507331
12,Blewett Pass,5.01935483871,11.3507834101
12,Bumping Ridge,9.06021505376,19.3608294931
12,Bunchgrass Meadow,9.9582437276,15.0673835125
12,Burnt Mountain,3.6614800759,21.6292220114
12,Corral Pass,10.9866518354,18.0283648498
12,Cougar Mountain,5.42838709677,31.360626186
12,Dungeness,2.71917562724,16.6743727599
12,Elbow Lake,9.60414746544,51.2391705069
12,Fish Lake,9.8793828892,22.8884992987
12,Green Lake,6.82688172043,10.8408602151
12,Grouse Camp,6.38626430801,10.0192507804
12,Hart's Pass,15.4749308756,16.6154648956
12,Huckleberry,0.980814940577,13.4191850594
12,June Lake,14.3795158287,51.4668528864
12,Lone Pine,11.197556719,31.7729802513
12,Lost Horse,5.22628774423,9.9621669627
12,Lyman Lake,20.2970674487,24.0186705767
12,Meadows Pass,7.57812061711,31.2272089762
12,Morse Lake,16.3298617512,26.2470588235
12,Moses Mountain,4.65509677419,6.74141935484
12,Mount Crag,8.11600955795,24.5659498208
12,Mount Gardner,4.87237026648,32.7729312763
12,Mowich,0.757168458781,16.8243727599
12,Olallie Meadows,15.0193548387,39.6341935484
12,Paradise ,20.512718894,36.4008294931
12,Park Creek Ridge,14.0501697793,23.4536502547
12,Pigtail Peak,15.4761290323,24.6662672811
12,Pope Ridge,6.27668202765,12.5548387097
12,Potato Hill,6.73021505376,13.5883870968
12,Quartz Peak,6.73021505376,13.5883870968
12,Rex River,8.55268817204,34.4204301075
12,Salmon Meadows,3.7110056926,5.97960151803
12,Sasse Ridge,9.73479960899,19.8654936461
12,Sheep Canyon,11.5562211982,41.4837788018
12,Skookum Creek,6.61612903226,45.1783410138
12,Spencer Meadow,9.53529411765,31.6069364162
12,Spirit Lake,3.2408266129,29.5677419355
12,Stampede Pass,11.7377609108,28.7827324478
12,Surprise Lakes,14.3597446809,32.1984667802
12,Swamp Creek,5.24136622391,14.8614800759
12,Thunder Basin,8.00367074527,23.4172413793
12,Tinkham Creek,7.75413744741,34.1430575035
12,Touchet,9.42952468007,16.8716636197
12,Trough,3.97334465195,8.09694397284
12,Upper Wheeler,3.83493087558,8.37262672811
12,Waterhole,11.1233396584,24.2764705882
12,Wells Creek,9.06267281106,27.4860215054
12,White Pass ES,6.59713261649,14.4049283154
19,Green Lake,,
2,Alpine Meadows,33.1363344051,92.4125401929
2,Blewett Pass,12.4895854398,22.5995955511
2,Bumping Ridge,21.1590909091,35.4580808081
2,Bunchgrass Meadow,21.2559921415,26.6062868369
2,Burnt Mountain,11.0303534304,39.432016632
2,Corral Pass,24.685958486,34.2903540904
2,Cougar Mountain,12.9239635996,55.7097814776
2,Dungeness,7.02809430255,29.1381139489
2,Elbow Lake,26.2898989899,90.2951178451
2,Fish Lake,25.4575384615,41.9856923077
2,Green Lake,14.9884955752,20.385840708
2,Grouse Camp,15.4400684932,19.7399543379
2,Hart's Pass,32.2873609707,30.6064516129
2,Huckleberry,2.56797020484,25.4776536313
2,June Lake,34.2466469428,91.8215976331
2,Lone Pine,26.9026590693,57.1226450999
2,Lost Horse,14.1077220077,20.2984555985
2,Lyman Lake,44.3509110397,45.8675241158
2,Meadows Pass,19.9792307692,58.0156923077
2,Morse Lake,38.4629929221,49.7831425598
2,Moses Mountain,11.0548797737,12.9280056577
2,Mount Crag,21.0716906946,45.7242463958
2,Mount Gardner,12.3049230769,59.9372307692
2,Mowich,1.82671905697,30.1874263261
2,Olallie Meadows,38.0961577351,72.8032355915
2,Paradise ,48.7117290192,68.2791708797
2,Park Creek Ridge,34.7704841713,44.3662942272
2,Pigtail Peak,37.5337714863,48.0541961577
2,Pope Ridge,14.9300303337,22.9835587929
2,Potato Hill,16.5364386792,25.5462264151
2,Quartz Peak,16.5364386792,25.5462264151
2,Rex River,23.8867003367,64.480976431
2,Salmon Meadows,7.90655567118,10.3786680541
2,Sasse Ridge,24.9450160772,37.298392283
2,Sheep Canyon,27.8088381331,72.3520357498
2,Skookum Creek,21.1577441077,83.3355218855
2,Spencer Meadow,24.3913131313,58.7003045685
2,Spirit Lake,6.13617256637,53.4670091324
2,Stampede Pass,30.2149843913,54.0130072841
2,Surprise Lakes,34.4836126629,58.9040968343
2,Swamp Creek,13.8571725572,26.0758835759
2,Thunder Basin,20.9931707317,40.9901219512
2,Tinkham Creek,20.6992307692,63.2866153846
2,Touchet,23.4358333333,32.4298958333
2,Trough,8.21843575419,15.5980446927
2,Upper Wheeler,9.62143579373,15.688776542
2,Waterhole,26.0374220374,44.6727650728
2,Wells Creek,22.5618398637,48.1785349233
2,White Pass ES,17.4619469027,28.1426745329
20,Bunchgrass Meadow,,
20,Fish Lake,,
3,Alpine Meadows,43.9269794721,109.401173021
3,Blewett Pass,14.1309677419,26.5168663594
3,Bumping Ridge,25.8543778802,42.3812596006
3,Bunchgrass Meadow,26.3539426523,32.0584229391
3,Burnt Mountain,15.6660341556,47.1
3,Corral Pass,30.1090100111,40.7375973304
3,Cougar Mountain,15.6494930876,65.4054079696
3,Dungeness,8.82759856631,34.4347670251
3,Elbow Lake,33.9450076805,105.101382488
3,Fish Lake,29.8186535764,48.3688639551
3,Green Lake,18.3319892473,24.7620967742
3,Grouse Camp,18.6470343392,23.5618106139
3,Hart's Pass,39.0930875576,36.5367172676
3,Huckleberry,1.91375212224,29.9724957555
3,June Lake,41.6574057038,110.569181233
3,Lone Pine,33.277806563,68.0659722222
3,Lost Horse,17.0600706714,24.4247349823
3,Lyman Lake,54.1032258065,55.1753665689
3,Meadows Pass,24.7925666199,68.133941094
3,Morse Lake,48.1748387097,59.89971537
3,Moses Mountain,13.9427096774,16.1107096774
3,Mount Crag,27.1916367981,54.3097968937
3,Mount Gardner,14.8221598878,70.5345021038
3,Mowich,1.57329749104,35.4870967742
3,Olallie Meadows,47.8597235023,85.6709677419
3,Paradise ,60.8724423963,81.15640553
3,Park Creek Ridge,42.0095925297,52.3410016978
3,Pigtail Peak,46.8402764977,58.1470046083
3,Pope Ridge,16.9166820276,26.8000948767
3,Potato Hill,19.5919354839,30.4682795699
3,Quartz Peak,19.5919354839,30.4682795699
3,Rex River,31.4019969278,75.7913978495
3,Salmon Meadows,9.66015180266,12.4768500949
3,Sasse Ridge,30.7021505376,43.9333333333
3,Sheep Canyon,35.252946593,86.8887661142
3,Skookum Creek,29.0513056836,98.366359447
3,Spencer Meadow,29.797486535,69.3973247232
3,Spirit Lake,6.565625,63.3701352758
3,Stampede Pass,37.0666034156,63.4803605313
3,Surprise Lakes,42.0882453152,70.2730834753
3,Swamp Creek,16.4654648956,30.4622390892
3,Thunder Basin,25.9241648107,47.9100222717
3,Tinkham Creek,25.2605890603,74.5005610098
3,Touchet,28.8773271889,38.7808294931
3,Trough,9.69193548387,18.6113752122
3,Upper Wheeler,11.7937327189,18.6240552995
3,Waterhole,32.704743833,52.8018975332
3,Wells Creek,29.276344086,56.96359447
3,White Pass ES,21.1318100358,33.0629032258
4,Alpine Meadows,51.4975757576,126.166515152
4,Blewett Pass,8.96285714286,29.1083809524
4,Bumping Ridge,26.7726984127,47.123968254
4,Bunchgrass Meadow,28.2923518164,36.2898661568
4,Burnt Mountain,17.647254902,55.801372549
4,Corral Pass,34.1617241379,46.7283908046
4,Cougar Mountain,14.115047619,74.8390196078
4,Dungeness,7.16277777778,38.6261111111
4,Elbow Lake,34.3976190476,118.133650794
4,Fish Lake,27.5620289855,53.0611594203
4,Green Lake,19.8338888889,27.8519444444
